id,项目名称,发布时间,类别,来源,省份,市,区县,项目编号,采购人,代理机构,预算(万元),项目地址,项目周期,中标人,中标金额(元),中标日期
3952,亳州市谯城区精神文明建设指导委员会办公室（主管预算单位）关于平板拖把的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,亳州市,谯城区,2121451000000270910,亳州市谯城区精神文明建设指导委员会办公室,,,亳州市谯城区精神文明建设指导委员会办公室,,亳州市诚信文化体育用品销售有限公司,3594,2023/10/19
3953,滁州学院会峰校区人才公寓4、5号楼二次加压泵房设备采购及安装,2023/10/19,学校,政府采购,安徽省,滁州市,,czsjcg202309-107,滁州学院,滁州市城投工程咨询管理有限公司,,安徽省滁州市会峰西路1号滁州学院会峰校区,,富兰克水务（集团）有限公司,693120,2023/10/19
3954,检验检测仪器设备采购,2023/10/19,货物,企业采购,安徽省,滁州市,南谯区,czsjcg202309-111,滁州市技术监督检测中心,安徽人和项目管理有限公司,,滁州市南谯区龙蟠大道105号,,浙江顺测科技有限公司,589000,2023/10/19
3955,亳州市谯城区精神文明建设指导委员会办公室（主管预算单位）关于记事本的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,亳州市,谯城区,2121451000000270788,亳州市谯城区精神文明建设指导委员会办公室,,,亳州市谯城区精神文明建设指导委员会办公室,,亳州市诚信文化体育用品销售有限公司,3228,2023/10/19
3956,芜湖市育红幼儿园关于蒸炉/蒸包炉的网上超市采购项目,2023/10/19,学校,企业采购,安徽省,芜湖市,,2321451000000270933,芜湖市育红幼儿园,,,芜湖市育红幼儿园,,芜湖市瑞尚工程配套设备销售有限公司,3150,2023/10/19
3957,滁州市南谯区乌衣镇人民政府关于篮球服的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,滁州市,南谯区,2631451000000270854,滁州市南谯区乌衣镇人民政府,,,滁州市南谯区乌衣镇人民政府,,滁州市书彤商贸有限公司,2720,2023/10/19
3958,安徽芜湖三山经济开发区管委会教育文体局关于粉盒的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,芜湖市,弋江区,2731451000000270877,安徽芜湖三山经济开发区管委会教育文体局,,,芜湖三山经开区龙湖路1号,,芜湖时代信息技术有限公司,4350,2023/10/19
3959,濉溪县铁佛镇卫生院关于其它打印机的网上超市采购项目,2023/10/19,医院,政府采购,安徽省,淮北市,濉溪县,2311451000000270645,濉溪县铁佛镇卫生院,,,濉溪县铁佛镇卫生院,,安徽彬昊智能科技有限公司,9560,2023/10/19
3960,蚌埠高新区社区管理服务中心文锦路社区居民委员会关于专业音频的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,蚌埠市,蚌埠市高新技术开发区,2861451000000270907,蚌埠高新区社区管理服务中心文锦路社区居民委员会,,,蚌埠高新区社区管理服务中心文锦路社区居民委员会,,蚌埠市龙子湖区柯硕电子经营部,1100,2023/10/19
3961,芜湖市急救中心关于抽湿器/除湿器的网上超市采购项目,2023/10/19,货物,企业采购,安徽省,芜湖市,,2241451000000270883,芜湖市急救中心,,,芜湖市急救中心,,芜湖始终商贸有限责任公司,1198,2023/10/19
3962,滁州市第二幼儿园关于文件袋的网上超市采购项目,2023/10/19,学校,企业采购,安徽省,滁州市,,2531451000000270906,滁州市第二幼儿园,,,滁州市第二幼儿园,,滁州博硕商贸有限公司,15741,2023/10/19
3963,安庆市生态陵园骨灰楼建设项目,2023/10/19,工程,招标采购,安徽省,安庆市,,GC-AQ-2023-212,安庆市公墓管理处,安庆市皖宜项目咨询管理有限公司,,安庆市公墓管理处,,安徽源宜工程建设有限公司,12153603.45,2023/10/19
3964,安徽省宿州市中级人民法院关于硒鼓的网上超市采购项目,2023/10/19,货物,企业采购,安徽省,宿州市,埇桥区,2901451000000270438,安徽省宿州市中级人民法院,,,宿州市埇桥区银河一路528号,,安徽汇宇新高办公设备有限公司,2500,2023/10/19
3965,芜湖市第二十九中学关于矿泉水/纯净水的网上超市采购项目,2023/10/19,学校,企业采购,安徽省,芜湖市,,2631451000000270878,芜湖市第二十九中学,,,芜湖市第二十九中学,,安徽共文商贸有限公司,17000,2023/10/19
3966,蚌埠市救助管理站关于稳压电源的网上超市采购项目,2023/10/19,项目管理,企业采购,安徽省,蚌埠市,,2081451000000270879,蚌埠市救助管理站,,,蚌埠市救助管理站,,安徽中彗科技有限公司,2588,2023/10/19
3967,合肥市西城东苑幼儿园关于海绵垫/布料/面料/手工diy的网上超市采购项目,2023/10/19,学校,企业采购,安徽省,合肥市,,2551451000000270882,合肥市西城东苑幼儿园,,,合肥市西城东苑幼儿园,,安徽琪顺家具有限公司,87020,2023/10/19
3968,淮南市公安局大通分局关于液晶显示器的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,淮南市,大通区,2761451000000270884,淮南市公安局大通分局,,,大通区境内,,田家庵区正元百货商行,18600,2023/10/19
3969,蚌埠市勘测设计研究院全自动气压固结仪（中、高压）、单杠杆固结仪（三联中压）、双侧磨平机设备购置项目,2023/10/19,设计,招标采购,安徽省,蚌埠市,蚌山区,xhdl2023【030】,蚌埠市勘测设计研究院,安徽新宏工程造价有限公司,,安徽省蚌埠市蚌山区胜利东路1426号,,南京土壤仪器厂有限公司,218200,2023/10/19
3970,合肥市红星路小学关于足球服的网上超市采购项目,2023/10/19,学校,政府采购,安徽省,合肥市,庐阳区,2871451000000270773,合肥市红星路小学,,,庐阳区无为路19号,,合肥觐见迩商贸有限公司,5904.4,2023/10/19
3971,合肥市颐和中学关于数码线材的网上超市采购项目,2023/10/19,学校,企业采购,安徽省,合肥市,蜀山区,2781451000000270922,合肥市颐和中学,,,安徽省合肥市蜀山区史河路36号,,合肥才豪网络科技有限公司,3774,2023/10/19
3972,亳州市谯城区青云中心小学关于游乐场/体育场馆设施的网上超市采购项目,2023/10/19,学校,政府采购,安徽省,亳州市,谯城区,2601451000000270881,亳州市谯城区青云中心小学,,,亳州市谯城区青云中心小学,,合肥岚图教育科技有限公司,41691,2023/10/19
3973,合肥市颐和中学关于触控一体机的网上超市采购项目,2023/10/19,学校,企业采购,安徽省,合肥市,蜀山区,2781451000000270932,合肥市颐和中学,,,安徽省合肥市蜀山区史河路36号,,合肥才豪网络科技有限公司,24500,2023/10/19
3974,合肥市汤池路幼儿园关于餐桌的网上超市采购项目,2023/10/19,学校,企业采购,安徽省,合肥市,蜀山区,2871451000000270940,合肥市汤池路幼儿园,,,蜀山区东至路与汤池路交口,,合肥等闲教育咨询有限公司,2250,2023/10/19
3975,亳州市交通运输局谯观路等三处治超卡点和G311静态称重设备维修采购项目,2023/10/19,政府,政府采购,安徽省,亳州市,谯城区,BZSJ2023CG224号,亳州市交通运输局,亳州市药都项目管理有限公司,,亳州市谯城区药都大道1289号,,安徽浩源信息科技有限公司,1523500,2023/10/19
3976,太和县苗集镇中心学校关于拉杆广场音箱/户外音响的网上超市采购项目,2023/10/19,学校,政府采购,安徽省,阜阳市,太和县,2641451000000270903,太和县苗集镇中心学校,,,太和县苗集镇中心学校,,安徽启励信息科技有限公司,1699,2023/10/19
3977,安徽省农业科学院水产研究所关于空调的网上超市采购项目,2023/10/19,学校,政府采购,安徽省,合肥市,庐阳区,2351451000000270939,安徽省农业科学院水产研究所,,,安徽省合肥市庐阳区农科南路40号,,合肥先卓科技有限公司,2650,2023/10/19
3978,合肥市安庆路幼儿园关于表演类的网上超市采购项目,2023/10/19,学校,企业采购,安徽省,合肥市,庐阳区,2241451000000270943,合肥市安庆路幼儿园,,,合肥市庐阳区安庆路139号,,合肥星晶睿商贸有限责任公司,7340,2023/10/19
3979,淮南市毛集社会发展综合实验区管理委员会办公室（区法制办公室）关于平板电视的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,淮南市,,2991451000000270948,淮南市毛集社会发展综合实验区管理委员会办公室（区法制办公室）,,,淮南市毛集社会发展综合实验区管理委员会办公室（区法制办公室）,,淮南市商贾科贸有限公司,9160,2023/10/19
3980,合肥市第四十五中学关于床单/床罩的网上超市采购项目,2023/10/19,学校,企业采购,安徽省,合肥市,,2711451000000270802,合肥市第四十五中学,,,桐城路103号合肥45,,安徽省徽商红府连锁超市有限责任公司,2000,2023/10/19
3981,颍上县职业技术学校关于版纸的网上超市采购项目,2023/10/19,学校,政府采购,安徽省,阜阳市,颍上县,2301451000000270545,颍上县职业技术学校,,,安徽省颍上县交通西路50号,,阜阳科诺数码科技有限公司,19800,2023/10/19
3982,枞阳县横埠中心学校关于空调的网上超市采购项目,2023/10/19,学校,政府采购,安徽省,铜陵市,枞阳县,2061451000000270925,枞阳县横埠中心学校,,,枞阳县横埠中心学校,,枞阳县朱氏日日顺电器销售有限公司,2780,2023/10/19
3983,泗县人民政府办公室关于碎纸机的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,宿州市,泗县,2221451000000270633,泗县人民政府办公室,,,泗县人民政府办公室,,泗县昊天实业有限公司,2397,2023/10/19
3984,肥西乡侬商业管理有限公司山南钓影园分公司关于豆奶的网上超市采购项目,2023/10/19,项目管理,企业采购,安徽省,合肥市,肥西县,2361451000000270889,肥西乡侬商业管理有限公司山南钓影园分公司,,,肥西乡侬商业管理有限公司山南钓影园分公司,,安徽徽购佳选跨境电商有限公司合肥清潭路分公司,10507.8,2023/10/19
3985,亳州市审计局关于数码线材的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,亳州市,,2211451000000270593,亳州市审计局,,,亳州市审计局,,亳州市皖清商贸有限公司,5374,2023/10/19
3986,中国共产党合肥市蜀山区委组织部（主管预算单位）关于财务证明用品的网上超市采购项目,2023/10/19,货物,企业采购,安徽省,合肥市,蜀山区,2791451000000270870,中国共产党合肥市蜀山区委组织部,,,中国共产党合肥市蜀山区委组织部,,安徽天速广告图文有限公司,15400,2023/10/19
3987,亳州市审计局关于剪刀的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,亳州市,,2211451000000270611,亳州市审计局,,,亳州市审计局,,亳州市皖清商贸有限公司,5848,2023/10/19
3988,长丰县左店镇人民政府关于灭火器的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,合肥市,长丰县,2361451000000270841,长丰县左店镇人民政府,,,长丰县左店镇人民政府,,合肥盛世祥商贸有限公司,3740,2023/10/19
3989,亳州十八中运动场维修改造项目,2023/10/19,货物,政府采购,安徽省,亳州市,,BZSJ2023CG215号,安徽省亳州市第十八中学,亳州市药都项目管理有限公司,,亳州市高新区养生大道1199号,,安徽驰耐邦体育产业有限公司,3185637.01,2023/10/19
3990,长丰县左店镇人民政府关于干货/土特产的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,合肥市,长丰县,2311451000000270837,长丰县左店镇人民政府,,,长丰县左店镇人民政府,,合肥隆祺盛商贸有限公司,4840,2023/10/19
3991,亳州市消防救援支队关于视频线/音频线/AV线的网上超市采购项目,2023/10/19,货物,企业采购,安徽省,亳州市,,2911451000000270498,亳州市消防救援支队,,,亳州市消防救援支队,,亳州市易佰分办公设备销售有限责任公司,51997,2023/10/19
3992,安徽合肥技师学院关于管钳的网上超市采购项目,2023/10/19,学校,政府采购,安徽省,合肥市,合肥新站高新技术产业开发区,2151451000000270951,安徽合肥技师学院,,,合肥市新站区梦溪路868号,,安徽诺平家具有限公司,4450,2023/10/19
3993,合肥市蜀山区小庙镇枣林村民委员会关于礼品袋/盒/塑料袋的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,合肥市,蜀山区,2541451000000270605,合肥市蜀山区小庙镇枣林村民委员会,,,合肥市蜀山区小庙镇枣林村民委员会,,合肥市科达恒创广告装饰有限公司,19460,2023/10/19
3994,太和县光荣敬老院关于布艺沙发的网上超市采购项目,2023/10/19,货物,企业采购,安徽省,阜阳市,太和县,2321451000000270942,太和县光荣敬老院,,,太和县光荣敬老院,,安徽冉冉之星商贸有限公司,9000,2023/10/19
3995,全椒县公安局关于墨仓式打印机的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,滁州市,全椒县,2621451000000269303,全椒县公安局,,,全椒县襄河镇泓景路2号,,滁州睿友电子科技有限公司,4798,2023/10/19
3996,太和县光荣敬老院关于实木床的网上超市采购项目,2023/10/19,货物,企业采购,安徽省,阜阳市,太和县,2321451000000270892,太和县光荣敬老院,,,太和县光荣敬老院,,安徽冉冉之星商贸有限公司,16800,2023/10/19
3997,安徽合肥技师学院关于浴室用品套件的网上超市采购项目,2023/10/19,学校,政府采购,安徽省,合肥市,合肥新站高新技术产业开发区,2141451000000270956,安徽合肥技师学院,,,合肥市新站区梦溪路868号,,安徽米良商贸有限公司,3850,2023/10/19
3998,合肥市公安局庐阳分局关于饭勺的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,合肥市,庐阳区,2691451000000270895,合肥市公安局庐阳分局,,,合肥市公安局庐阳分局,,合肥徽屹隆商贸有限公司,1761,2023/10/19
3999,大周村农村公益业财政奖补绿化提升管护项目,2023/10/19,货物,招标采购,安徽省,阜阳市,颍泉区,AHSH-2023009,阜阳市颍泉区行流镇人民政府,安徽晟航工程项目管理有限公司,,安徽省阜阳市颍泉区行流镇文化路6号,施工工期20天,安徽杰创建筑有限公司,199000,2023/10/19
4000,中共安徽省委机构编制委员会办公室关于办公桌的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,合肥市,,2211451000000270466,中共安徽省委机构编制委员会办公室,,,中共安徽省委机构编制委员会办公室,,合肥蓝天家具制造有限责任公司,7950,2023/10/19
4001,合肥市祁门路幼儿园关于蔬果刨丝器/瓜果刀的网上超市采购项目,2023/10/19,学校,企业采购,安徽省,合肥市,蜀山区,2441451000000270636,合肥市祁门路幼儿园,,,祁门路268号,,安徽凌佳美品电子商务有限公司,8650.6,2023/10/19
4002,和县姥桥镇人民政府关于其它中小型健身器材的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,马鞍山市,和县,2991451000000270955,和县姥桥镇人民政府,,,和县姥桥镇人民政府,,马鞍山龙源泰商贸有限公司,15000,2023/10/19
4003,合肥市公安局庐阳分局关于灭鼠/杀虫剂的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,合肥市,庐阳区,2451451000000270799,合肥市公安局庐阳分局,,,合肥市公安局庐阳分局,,合肥浩璐宝商贸有限公司,1086,2023/10/19
4004,阜阳兴泉发展有限公司关于笔记本电脑的网上超市采购项目,2023/10/19,货物,企业采购,安徽省,阜阳市,,2441451000000270963,阜阳兴泉发展有限公司,,,阜阳兴泉发展有限公司,,阜阳市鑫隆数码办公设备有限公司,8700,2023/10/19
4005,合肥供水集团有限公司关于精品展柜/陈列柜的网上超市采购项目,2023/10/19,货物,企业采购,安徽省,合肥市,,2051451000000270958,合肥供水集团有限公司,,,合肥市屯溪路70号合肥供水集团,,合肥晋同商贸有限公司,9703.4,2023/10/19
4006,合肥市祁门路幼儿园关于防割手套的网上超市采购项目,2023/10/19,学校,企业采购,安徽省,合肥市,蜀山区,2441451000000270946,合肥市祁门路幼儿园,,,祁门路268号,,安徽凌佳美品电子商务有限公司,3756.8,2023/10/19
4007,蚌埠市精神文明建设指导委员会办公室（主管预算单位）关于书柜的网上超市采购项目,2023/10/19,政府,政府采购,江苏省,连云港市,东海县,2331451000000270804,蚌埠市精神文明建设指导委员会办公室,,,东海大道3115号行政办公中心综合楼3楼,,蚌埠市蚌山区亚华家具经营部,2280,2023/10/19
4008,安徽理工大学第一附属医院西区消防改造工程,2023/10/19,医院,政府采购,安徽省,淮南市,田家庵区,2023-AHAR-0911,安徽理工大学第一附属医院,安徽安然工程造价咨询有限责任公司,,田家庵区淮滨路203号,20日,安徽邦桀建筑工程有限公司,138986.74,2023/10/19
4009,合肥市广播电视台关于LED显示屏的网上超市采购项目,2023/10/19,货物,企业采购,安徽省,合肥市,,2701451000000270596,合肥市广播电视台,,,合肥市广播电视台,,安徽明利嘉电子科技有限公司,159300,2023/10/19
4010,2023年安徽秸秆暨畜禽养殖废弃物综合利用产业博览会合肥展区布展和广告宣传服务,2023/10/19,服务,政府采购,安徽省,合肥市,蜀山区,2023BFFFN02275,合肥市农业农村局,合肥市政府采购中心,,合肥市蜀山区东流路100号,,合肥国源展览展示有限公司,728000,2023/10/19
4011,淮北市人民路学校关于空调的网上超市采购项目,2023/10/19,学校,政府采购,安徽省,淮北市,,2361451000000266364,淮北市人民路学校,,,淮北市人民路297号,,淮北市鸿之阳商贸有限责任公司,8400,2023/10/19
4012,蚌埠市国土空间总体规划近期实施规划项目,2023/10/19,货物,政府采购,安徽省,蚌埠市,,BB2023SQCGC2551,蚌埠市自然资源和规划局,蚌埠市招标投标咨询服务有限公司,,安徽省蚌埠市南湖路1008号,,中国城市规划设计研究院,990000,2023/10/19
4013,2023年度龙子湖区老旧小区智能化及杆线入地设备采购及安装项目,2023/10/19,货物,企业采购,安徽省,蚌埠市,,BB2023SQCGZ2511,蚌埠市龙子湖区住房城乡建设交通局,蚌埠市招标投标咨询服务有限公司,,安徽省蚌埠市东海大道1599号,,中国广电安徽网络股份有限公司,19273971.82,2023/10/19
4014,中共蚌埠市委党校关于彩色激光多功能一体机的网上超市采购项目,2023/10/19,货物,企业采购,安徽省,蚌埠市,,2641451000000270315,中共蚌埠市委党校,,,中共蚌埠市委党校,,蚌埠敏思商贸有限公司,20600,2023/10/19
4015,中共蚌埠市委党校关于麦克风/话筒的网上超市采购项目,2023/10/19,货物,企业采购,安徽省,蚌埠市,,2641451000000270254,中共蚌埠市委党校,,,中共蚌埠市委党校,,蚌埠敏思商贸有限公司,4900,2023/10/19
4016,合肥市蜀山中学关于影棚器材的网上超市采购项目,2023/10/19,学校,企业采购,安徽省,合肥市,蜀山区,2371451000000269661,合肥市蜀山中学,,,合肥市蜀山中学,,安徽悦诗航文化传媒有限公司,2000,2023/10/19
4017,长丰县2023年部分学校校园广播、监控设备更新项目第2包,2023/10/19,学校,政府采购,安徽省,合肥市,长丰县,2023ACCHZ00413-2,长丰县教育体育局,长丰县公共资源交易有限责任公司,,长丰县教育体育局,,安徽宜介科技股份有限公司,1218234,2023/10/19
4018,合肥市蜀山区科学技术局关于机箱的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,合肥市,蜀山区,2791451000000270710,合肥市蜀山区科学技术局,,,合肥市蜀山区科学技术局,,合肥市锦煊电子有限公司,1963,2023/10/19
4019,安徽省芜湖市马仁奇峰自行车休闲赛道智能化设备采购项目,2023/10/19,货物,企业采购,安徽省,芜湖市,繁昌区,WH10CG2023HW1863（FS34022220230625号）,芜湖市繁昌区文化旅游体育局,中乾立源工程咨询有限公司,,芜湖市繁昌区政务文化中心十三楼,,中国移动通信集团安徽有限公司,8597646,2023/10/19
4020,桐城市司法局关于打印/复印纸的网上超市采购项目,2023/10/19,政府,政府采购,河北省,唐山市,路南区,2171451000000270709,桐城市司法局,,,文昌街道文渊路南侧,,安徽鑫创诚办公设备销售有限公司,1760,2023/10/19
4021,合肥市蜀山区教育体育局关于其它大型健身器械的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,合肥市,蜀山区,2211451000000271001,合肥市蜀山区教育体育局,,,合肥市蜀山区教育体育局,,合肥市京墨商贸有限公司,7610,2023/10/19
4022,亳州市谯城区古城镇人民政府关于烧水壶的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,亳州市,谯城区,2191451000000269744,亳州市谯城区古城镇人民政府,,,亳州市谯城区古城镇人民政府,,亳州市宝恩商贸有限公司,6300,2023/10/19
4023,安徽省横山国家森林公园管理处关于LED显示屏的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,宣城市,,2521451000000270962,安徽省横山国家森林公园管理处,,,安徽省横山国家森林公园管理处,,广德县世纪广联电子商贸有限责任公司,78570,2023/10/19
4024,宣城市第二幼儿园关于黑白激光多功能一体机的网上超市采购项目,2023/10/19,学校,企业采购,安徽省,宣城市,,2731451000000270644,宣城市第二幼儿园,,,宣城市第二幼儿园,,宣城鑫恒安防科技有限公司,6149,2023/10/19
4025,合肥市公安局庐阳分局关于捆绑带的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,合肥市,庐阳区,2451451000000270902,合肥市公安局庐阳分局,,,合肥市公安局庐阳分局,,合肥浩璐宝商贸有限公司,1169.2,2023/10/19
4026,临泉县宋集镇杨小街中心学校关于空调的网上超市采购项目,2023/10/19,学校,政府采购,安徽省,阜阳市,临泉县,2771451000000269815,临泉县宋集镇杨小街中心学校,,,临泉县宋集镇杨小街中心学校,,安徽众汇电子科技有限公司,54140,2023/10/19
4027,桐城市司法局关于硒鼓的网上超市采购项目,2023/10/19,政府,政府采购,河北省,唐山市,路南区,2171451000000270643,桐城市司法局,,,文昌街道文渊路南侧,,安徽鑫创诚办公设备销售有限公司,5140,2023/10/19
4028,合肥新站高新技术产业开发区三十头社区管理委员会关于商务公文包的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,合肥市,合肥新站高新技术产业开发区,2561451000000270869,合肥新站高新技术产业开发区三十头社区管理委员会,,,合肥新站高新技术产业开发区三十头社区管理委员会,,合肥市君柏商贸有限公司,2400,2023/10/19
4029,长丰县融媒体中心关于墨粉/碳粉的网上超市采购项目,2023/10/19,货物,企业采购,安徽省,合肥市,长丰县,2081451000000270614,长丰县融媒体中心,,,安徽省合肥市长丰县水湖镇杨公路南县融媒体中心,,合肥政好采科技有限公司,1640,2023/10/19
4030,合肥市公安局蜀山分局关于粉盒的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,合肥市,蜀山区,2111451000000270581,合肥市公安局蜀山分局,,,合肥市公安局蜀山分局,,合肥晨鸿信息科技有限公司,1960,2023/10/19
4031,寿县刘岗学区管理中心关于乒乓球台的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,淮南市,寿县,2121451000000270085,寿县刘岗学区管理中心,,,寿县刘岗镇刘岗街道,,合肥三钻商贸有限公司,10680,2023/10/19
4032,合肥湖滨物业管理有限公司关于垃圾桶的网上超市采购项目,2023/10/19,项目管理,企业采购,安徽省,合肥市,,2741451000000270967,合肥湖滨物业管理有限公司,,,合肥湖滨物业管理有限公司,,台州市广泰塑业有限公司,87000,2023/10/19
4033,芜湖市鸠江区白茆镇人民政府关于装订机的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,芜湖市,鸠江区,2771451000000270715,芜湖市鸠江区白茆镇人民政府,,,芜湖市鸠江区白茆镇新街,,芜湖聚金电子科技有限公司,2399,2023/10/19
4034,合肥新站高新技术产业开发区三十头社区管理委员会关于家庭环境清洁剂的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,合肥市,合肥新站高新技术产业开发区,2561451000000270866,合肥新站高新技术产业开发区三十头社区管理委员会,,,合肥新站高新技术产业开发区三十头社区管理委员会,,合肥市君柏商贸有限公司,5042,2023/10/19
4035,烟墩街道竹园社区居民委员会关于马桶刷/厕所刷的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,合肥市,包河区,2051451000000270718,烟墩街道竹园社区居民委员会,,,烟墩街道竹园社区居民委员会,,合肥金其商贸有限公司,4167.4,2023/10/19
4036,合肥市第二人民医院关于其他试验仪器及装置的网上超市采购项目,2023/10/19,医院,政府采购,安徽省,合肥市,,2911451000000270093,合肥市第二人民医院,,,合肥市第二人民医院,,浙江军采科技股份有限公司,3000,2023/10/19
4037,广德市公安局关于账本/账册的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,宣城市,广德市,2101451000000270975,广德市公安局,,,广德市公安局,,广德艺轩文体用品销售有限公司,4367.6,2023/10/19
4038,合肥东部新中心建设管理办公室关于航拍无人机的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,合肥市,肥东县,2621451000000270705,合肥东部新中心建设管理办公室,,,合肥东部新中心建设管理办公室,,安徽乐摄美科技有限公司,11386,2023/10/19
4039,阜阳职业技术学院学前教育学院一层走廊、A楼--B楼连接处、二层走廊南端改造项目,2023/10/19,学校,政府采购,安徽省,阜阳市,,JYCG2023-151,阜阳职业技术学院,安徽金阳造价咨询有限公司,,阜阳市清河西路1066号,,阜阳市槿美装饰工程有限公司,95537,2023/10/19
4040,合肥市蜀山区荷叶地街道凯旋门社区关于档案袋的网上超市采购项目,2023/10/19,货物,企业采购,安徽省,合肥市,,2641451000000271005,合肥市蜀山区荷叶地街道凯旋门社,,,合肥市潜山路与仙龙湖路交口凯旋门一期六栋北门凯旋门社区党群服务中心,,安徽凌佳美品电子商务有限公司,3674.2,2023/10/19
4041,合肥市蜀山区南七街道洪岗社区居民委员会关于政治类书籍的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,合肥市,蜀山区,2751451000000269890,合肥市蜀山区南七街道洪岗社区居民委员会,,,合肥市蜀山区南七街道洪岗社区居民委员会,,合肥新华书店有限公司,55637.6,2023/10/19
4042,广德市公安局关于票夹/长尾夹的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,宣城市,广德市,2141451000000270974,广德市公安局,,,广德市公安局,,广德县桃州镇好文星文体用品经营部,5856.9,2023/10/19
4043,合肥市庐阳区人民政府逍遥津街道办事处关于护手的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,合肥市,庐阳区,2351451000000270598,合肥市庐阳区人民政府逍遥津街道办事处,,,合肥市庐阳区红星路143号,,安徽皖玖商贸有限公司,19818.5,2023/10/19
4044,安徽省农业科学院水产研究所关于笔记本电脑的网上超市采购项目,2023/10/19,学校,政府采购,安徽省,合肥市,庐阳区,2351451000000270937,安徽省农业科学院水产研究所,,,安徽省合肥市庐阳区农科南路40号,,合肥先卓科技有限公司,6950,2023/10/19
4045,淮北市相山区人力资源和社会保障局关于触控一体机的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,淮北市,相山区,2421451000000270712,淮北市相山区人力资源和社会保障局,,,淮北市相山区人力资源和社会保障局,,安徽叁金信息科技有限公司,28800,2023/10/19
4046,芜湖市公安局繁昌分局关于服务器/Server的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,芜湖市,繁昌,2781451000000270291,芜湖市公安局繁昌分局,,,芜湖市公安局繁昌分局,,安徽智讯电子工程有限公司,134000,2023/10/19
4047,马鞍山市中医院关于感应龙头的网上超市采购项目,2023/10/19,医院,政府采购,安徽省,马鞍山市,,2821451000000270973,马鞍山市中医院,,,马鞍山市中医院,,安徽泉泽商贸有限公司,1060,2023/10/19
4048,萧县第三次全国土壤普查土壤样品检测服务采购项目（二次）,2023/10/19,服务,企业采购,安徽省,宿州市,萧县,EP-XXCG2023106,萧县农业农村局,安徽建鑫工程咨询有限公司,,萧县龙城镇小康路与龙山路交叉口,,安徽中青检验检测有限公司,3170000,2023/10/19
4049,合肥市琥珀五环幼儿园关于花架/花几的网上超市采购项目,2023/10/19,学校,企业采购,安徽省,合肥市,,2131451000000270838,合肥市琥珀五环幼儿园,,,合肥市琥珀五环幼儿园,,安徽洁创电子商务有限责任公司,4800,2023/10/19
4050,芜湖市公安局繁昌分局关于液晶显示器的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,芜湖市,繁昌,2781451000000270290,芜湖市公安局繁昌分局,,,芜湖市公安局繁昌分局,,安徽智讯电子工程有限公司,136000,2023/10/19
4051,亳州市第三十一中学关于其他学前教育的网上超市采购项目,2023/10/19,学校,企业采购,安徽省,亳州市,,2751451000000270980,亳州市第三十一中学,,,安徽省亳州市高新区嵇康路与银杏路交叉口,,亳州市智慧童信息咨询服务有限公司,3900,2023/10/19
4052,芜湖市湾沚区重点工程建设管理处关于黑白激光多功能一体机的网上超市采购项目,2023/10/19,政府,政府采购,安徽省,芜湖市,湾沚区,2811451000000270629,芜湖市湾沚区重点工程建设管理处,,,芜湖市湾沚区重点工程建设管理处,,芜湖县湾沚镇联创电脑经营部,8400,2023/10/19
4053,合肥市第二十八中学关于文稿纸/草稿纸的网上超市采购项目,2023/10/19,学校,企业采购,安徽省,合肥市,,2581451000000270664,合肥市第二十八中学,,,合肥市金寨南路868号,,安徽海金教育物资有限公司,1300,2023/10/19
