id,项目名称,发布时间,类别,来源,省份,市,区县,项目编号,采购人,代理机构,预算(万元),项目地址,项目周期,中标人,中标金额(元),中标日期
6818,合肥市习友路小学关于学科专用仪器设备的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,合肥市,,2311451000000264757,合肥市习友路小学,,,合肥市习友路小学,,安徽艾尔星球教育咨询有限公司,7000,2023/10/17
6819,合肥市第四十五中学橡树湾校区关于练字帖/练字板的网上超市采购项目,2023/10/17,学校,企业采购,安徽省,合肥市,,2031451000000266311,合肥市第四十五中学橡树湾校区,,,合肥市凤台路1768号,,合肥市晟凡聚商贸有限公司,4162,2023/10/17
6820,合肥经开实验学校关于拖把配件的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,合肥市,,2631451000000266156,合肥经开实验学校,,,合肥经开实验学校,,合肥惜月办公设备有限公司,8380,2023/10/17
6821,合肥市庐阳区牙病防治所关于其它机电五金的网上超市采购项目,2023/10/17,货物,企业采购,安徽省,合肥市,庐阳区,2921451000000266510,合肥市庐阳区牙病防治所,,,合肥市庐阳区阜南路190号,,安徽庄博五金机电有限公司,5820,2023/10/17
6822,芜湖职业技术学院关于墨盒的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,芜湖市,弋江区,2631451000000266423,芜湖职业技术学院,,,安徽省芜湖市弋江区文津西路,,芜湖市创新文化用品有限公司,1652,2023/10/17
6823,全椒县十字镇人民政府关于复印机的网上超市采购项目,2023/10/17,政府,政府采购,安徽省,滁州市,全椒县,2381451000000266378,全椒县十字镇人民政府,,,全椒县十字镇人民政府,,全椒县宇彤网络科技有限公司,9800,2023/10/17
6824,池州市公安局关于其它防护用品的网上超市采购项目,2023/10/17,政府,政府采购,安徽省,池州市,,2631451000000266297,池州市公安局,,,池州市公安局,,武汉中晟越服饰有限公司,49944,2023/10/17
6825,安徽省行政中心管理处关于文件柜的网上超市采购项目,2023/10/17,政府,政府采购,安徽省,合肥市,包河区,2361451000000265985,安徽省行政中心管理处,,,安徽省合肥市包河区滨湖新区中山路1号省行政中心3号楼2033室,,合肥康恒电子技术有限公司,2700,2023/10/17
6826,中共芜湖市委党校（芜湖行政学院）关于其它机电五金的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,芜湖市,,2951451000000265690,中共芜湖市委党校（芜湖行政学院）,,,中共芜湖市委党校（芜湖行政学院）,,芜湖悦邦办公设备商贸有限公司,1400,2023/10/17
6827,合肥市中房物业管理有限公司关于刷子的网上超市采购项目,2023/10/17,项目管理,企业采购,安徽省,合肥市,,2601451000000251893,合肥市中房物业管理有限公司,,,合肥市中房物业管理有限公司,,合肥斯德博防护用品有限公司,1816,2023/10/17
6828,合肥市第四十五中学橡树湾校区关于剪刀的网上超市采购项目,2023/10/17,学校,企业采购,安徽省,合肥市,,2031451000000266209,合肥市第四十五中学橡树湾校区,,,合肥市凤台路1768号,,合肥市晟凡聚商贸有限公司,1074,2023/10/17
6829,中新苏滁高新技术产业开发区管理委员会关于手压式饮水器的网上超市采购项目,2023/10/17,政府,政府采购,安徽省,滁州市,南谯区,2041451000000266830,中新苏滁高新技术产业开发区管理委员会,,,中新苏滁高新技术产业开发区管理委员会,,滁州市胜天商贸有限公司,4240,2023/10/17
6830,怀宁县大洼初级中学关于空调的网上超市采购项目,2023/10/17,学校,企业采购,安徽省,安庆市,怀宁县,2351451000000266422,怀宁县大洼初级中学,,,怀宁县大洼初级中学,,安庆恒发商贸有限公司,11100,2023/10/17
6831,安徽亳州高新技术产业开发区管理委员会关于档案盒的网上超市采购项目,2023/10/17,政府,政府采购,安徽省,亳州市,,2321451000000266452,安徽亳州高新技术产业开发区管理委员会,,,安徽亳州高新技术产业开发区管理委员会,,亳州市诚信文化体育用品销售有限公司,7842,2023/10/17
6832,芜湖经济技术开发区龙山街道大圣社区居民委员会关于其它雨伞架/桶/袋的网上超市采购项目,2023/10/17,政府,政府采购,安徽省,芜湖市,经济技术开发区,2271451000000266324,芜湖经济技术开发区龙山街道大圣社区居民委员会,,,芜湖经济技术开发区龙山街道大圣社区居民委员会,,芜湖灵筠五金贸易有限公司,1250,2023/10/17
6833,青阳经济开发区管理委员会关于黑白激光多功能一体机的网上超市采购项目,2023/10/17,政府,政府采购,安徽省,池州市,青阳县,2061451000000266374,青阳经济开发区管理委员会,,,青阳县蓉城镇木镇路高速大转盘西南侧328号,,青阳县金飞电脑有限责任公司,12600,2023/10/17
6834,合肥经开实验学校关于bopp胶带的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,合肥市,,2631451000000266152,合肥经开实验学校,,,合肥经开实验学校,,合肥惜月办公设备有限公司,7111.8,2023/10/17
6835,合肥市包河区望湖街道王卫社区居民委员会关于五金工具货架的网上超市采购项目,2023/10/17,政府,政府采购,安徽省,合肥市,包河区,2851451000000266355,合肥市包河区望湖街道王卫社区居民委员会,,,合肥市包河区望湖街道王卫社区居民委员会,,合肥源江商贸有限公司,4438,2023/10/17
6836,明光市桥头中心小学关于PVC板的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,滁州市,明光市,2791451000000266450,明光市桥头中心小学,,,明光市桥头中心小学,,滁州市百越商贸有限公司,14560,2023/10/17
6837,亳州市谯城区州东中心小学关于吊扇的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,亳州市,谯城区,2341451000000266426,亳州市谯城区州东中心小学,,,亳州市谯城区州东中心小学,,亳州市谯城区淼源商贸有限公司,5040,2023/10/17
6838,利辛县中疃学区中心学校关于收纳箱/盒/袋的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,亳州市,利辛县,2031451000000265521,利辛县中疃学区中心学校,,,利辛县中疃镇中疃街,,利辛县中飞日杂厨具门市,1150,2023/10/17
6839,太和县宫集镇人民政府关于PU/PVC笔记本的网上超市采购项目,2023/10/17,政府,政府采购,安徽省,阜阳市,太和县,2771451000000266835,太和县宫集镇人民政府,,,太和县宫集镇人民政府,,太和县禾发商贸有限公司,1565,2023/10/17
6840,桐城市血吸虫病防治站关于文件柜的网上超市采购项目,2023/10/17,货物,企业采购,安徽省,安庆市,桐城市,2111451000000266397,桐城市血吸虫病防治站,,,桐城市血吸虫病防治站,,安徽辰业办公家具有限公司,2500,2023/10/17
6841,芜湖市镜湖区人民法院关于文件柜的网上超市采购项目,2023/10/17,货物,企业采购,安徽省,芜湖市,镜湖区,2161451000000266508,芜湖市镜湖区人民法院,,,芜湖市镜湖区人民法院,,霍山新诚办公文具有限公司,129415,2023/10/17
6842,芜湖市建设投资有限公司关于遥控设备的网上超市采购项目,2023/10/17,货物,企业采购,安徽省,芜湖市,,2431451000000265487,芜湖市建设投资有限公司,,,芜湖市建设投资有限公司,,安徽新瑞杰电子科技有限公司,1200,2023/10/17
6843,合肥经开实验学校关于收纳架的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,合肥市,,2611451000000266132,合肥经开实验学校,,,合肥经开实验学校,,安徽珑瑄商贸有限公司,7656,2023/10/17
6844,中国共产党无为市委员会宣传部关于会议椅/会客椅的网上超市采购项目,2023/10/17,政府,政府采购,安徽省,芜湖市,,2101451000000266427,中国共产党无为市委员会宣传部,,,中国共产党无为市委员会宣传部,,无为迅驰商贸有限公司,1140,2023/10/17
6845,芜湖市建设投资有限公司关于打印/复印纸的网上超市采购项目,2023/10/17,货物,企业采购,安徽省,芜湖市,,2431451000000263136,芜湖市建设投资有限公司,,,芜湖市建设投资有限公司,,安徽新瑞杰电子科技有限公司,1850,2023/10/17
6846,芜湖职业技术学院关于打印/复印纸的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,芜湖市,弋江区,2721451000000266829,芜湖职业技术学院,,,安徽省芜湖市弋江区文津西路,,芜湖张弛商贸有限公司,2866.2,2023/10/17
6847,合肥市包河区望湖街道王卫社区居民委员会关于风扇/换气扇配件的网上超市采购项目,2023/10/17,政府,政府采购,安徽省,合肥市,包河区,2851451000000266264,合肥市包河区望湖街道王卫社区居民委员会,,,合肥市包河区望湖街道王卫社区居民委员会,,合肥源江商贸有限公司,9300,2023/10/17
6848,池州市贵池区梅村镇人民政府关于茶水柜的网上超市采购项目,2023/10/17,政府,政府采购,安徽省,池州市,贵池区,2051451000000265238,池州市贵池区梅村镇人民政府,,,池州市贵池区梅村镇人民政府,,池州市荣达商贸有限公司,8310,2023/10/17
6849,长丰县人民法院关于电话机（有绳/无绳/网络）的网上超市采购项目,2023/10/17,货物,企业采购,安徽省,合肥市,长丰县,2431451000000266905,长丰县人民法院,,,长丰县人民法院,,合肥云广智能科技有限公司,9946,2023/10/17
